Parole,Molto,parte del discorso,frasi
E,1,Verbo3presenteindicativo,
La,1,Pronome,
Un,1,Articulo,
A,1,Preposizione,
Sono,2,"Verbo1presenteindicativo,Verbo6presenteindicativo",
Il,1,Articulo,
Una,1,Articulo,
In,1,Preposizione,
Lo,1,Pronome,
Di,1,Preposizione,
Molto,1,Avverbio,
Sei,1,Verbo,
Sta,1,Verbo,
Mi,1,Pronome,
Per,1,Preposizione,
Cosi,1,Avverbio,
Posso,1,Verbo,
Siete,1,Verbo,
Ha,1,Verbo,
Le,1,Pronome,
Non,1,Avverbio,
Ho,1,Verbo,
Piace,1,Verbo,
Con,1,Preposizione,
Ti,1,Pronome,
Gia,1,Avverbio,
Sto,1,Verbo,
Da,1,Preposizione,
Sembra,1,Verbo,
Voglio,1,Verbo,
Cosa,1,Pronome,
Questa,1,Pronome,
Essere,1,Verbo,
Chi,1,,
L’Ha,1,,
Troppo,1,,
Davvero,1,,
Ancora,1,,
Vi,1,,
Che,1,,
Due,1,,
Si,1,,
Stai,1,,
Vuole,1,,
State,1,,
I,1,,
Abbastanza,1,,
Dove,1,,
Sempre,1,,
Gli,1,,
Alla,1,,
Questo,1,,
Come,1,,
Al,1,,
Quella,1,,
Era,1,,
Dei,1,,
Andare,1,,
Devo,1,,
O,1,,
Puo,1,,
Siento,1,,
Siamo,1,,
Hai,1,,
Dalla,1,,
Del,1,,
Chiamo,1,,
Ne,1,,
Hai,1,,
Qualche,1,,
Tre,1,,
Uno,1,,
Quando,1,,
L’Ambasciata,1,,
Quasi,1,,
Piacerebbe,1,,
Ci,1,,
Fatto,1,,
Quel,1,,
Nella,1,,
Molti,1,,
Dal,1,,
Cos’e,1,,
Voui,1,,
E,1,,
L’avette,1,,
Avete,1,,
Amo,1,,
Sara,1,,
Stato,1,,
Sa,1,,
Piu,1,,
Visto,1,,
Lavorare,1,,
Vorrei,1,,
Ero,1,,
Solo,1,,
Partire,1,,
Deve,1,,
Lasci,1,,
Faro,1,,
Dove,1,,
Parla,1,,
Stata,1,,
Mio,1,,
Sul,1,,
Alle,1,,
Puoi,1,,
Volete,1,,
Delle,1,,
Parlare,1,,
Se,1,,
Sembrava,1,,
Tutto,1,,
Abbiamo,1,,
Voleva,1,,
Tutti,1,,
Hanno,1,,
Fa,1,,
Suo,1,,
Possiamo,1,,
So,1,,
Libero,1,,
Stavo,1,,
Nel,1,,
Sia,1,,
Mia,1,,
Giornale,1,,
Unaltra,1,,
Ogni,1,,
Molte,1,,
Appena,1,,
Diventando,1,,
Della,1,,
Completamente,1,,
Ama,1,,
Tra,1,,
Aspettando,1,,
Stiamo,1,,
Semplicemente,1,,
Vedo,1,,
Ce,1,,
Cominciare,1,,
Potrei,1,,
Sai,1,,
Faccia,1,,
Tempo,1,,
Dev’essere,1,,
Vengo,1,,
Fate,1,,
Tuo,1,,
Manca,1,,
Qui,1,,
Venne,1,,
Siate,1,,
Fai,1,,
Fuori,1,,
Devi,1,,
Costa,1,,
Cos’ha,1,,
Vidi,1,,
Spesso,1,,
Quale,1,,
Quello,1,,
Libera,1,,
Fare,1,,
Potete,1,,
Vogliamo,1,,
Parlo,1,,
Pesso,1,,
Me,1,,
Guidare,1,,
Chiami,1,,
Dovrei,1,,
Mangiare,1,,
Dire,1,,
Studiando,1,,
Sapete,1,,
Tante,1,,
Qualcuno,1,,
Bene,1,,
Venire,1,,
Dobbiamo,1,,
Volevo,1,,
Lavora,1,,
Significa,1,,
Iniziare,1,,
Erano,1,,
Dovete,1,,
Va,1,,
Bere,1,,
Piacere,1,,
Dieci,1,,
Assolutamente,1,,
Domani,1,,
Cinque,1,,
Impegnato,1,,
Mangio,1,,
Vinto,1,,
Studiare,1,,
