ich,Pronomen,Nominativ/erste//singular
du,Pronomen,Nominativ/zweite//singular
er,Pronomen,Nominativ/dritte/masculin/singular
sie,Pronomen,Nominativ/dritte/feminin/singular
es,Pronomen,Nominativ/dritte/neutrum/singular
wir,Pronomen,Nominativ/erste//plural
euch,Pronomen,Nominativ/zweite//plural
sie,Pronomen,Nominativ/dritte//plural
Sie,Pronomen,Nominativ/zweite//formal
mich,Pronomen,Akkusativ/erste//singular
dich,Pronomen,Akkusativ/zweite//singular
ihn,Pronomen,Akkusativ/dritte//singular
mein,Pronomen,Genitiv/erste//singular
dein,Pronomen,Genitiv/zweite//singular
sein,Pronomen,Genitiv/dritte//singular
unser,Pronomen,Genitiv/erste//plural
euer,Pronomen,Genitiv/zweite//plural
ihr,Pronomen,Genitiv/dritte//plural
Ihr,Pronomen,Genitiv/zweite//formal
mir,Pronomen,Dativ/erste//singular
dir,Pronomen,Dativ/zweite//singular
ihm,Pronomen,Dativ/dritte//singular
uns,Pronomen,Dativ/erste//plural
ihnen,Pronomen,Dativ/dritte//plural
Ihnen,Pronomen,Dativ/zweite//formal
sein,verb,infinitiv

